series_id,parent_organization,series_name_display,series_name_normalized,scope,country_id,region_id
89,,Indy NXT,indy_nxt,national,USA,
90,,USF Pro 2000 Championship,usf_pro_2000_championship,national,USA,
91,,USF2000 Championship,usf2000_championship,national,USA,
92,,Super Formula Championship,super_formula_championship,national,JPN,
93,,Formula E World Championship,formula_e_world_championship,international,,INT
94,,Eurocup-3,eurocup_3,regional,,EUR
95,,GB3 Championship,gb3_championship,national,GBR,
96,Racing America,Formula Regional Americas Championship,formula_regional_americas_championship,regional,,NAM
97,,Formula Regional Japanese Championship,formula_regional_japanese_championship,national,JPN,
98,,Formula Regional Oceania Championship,formula_regional_oceania_championship,national,NZL,
99,Formula Middle East,Formula Regional Middle East Championship,formula_regional_middle_east_championship,regional,,MID
100,,Euroformula Open,euroformula_open,regional,,EUR
101,,Super Formula Lights,super_formula_lights,national,JPN,
102,,USF Juniors,usf_juniors,national,USA,
