circuit_id,circuit_full_name_display,layout_display,circuit_full_name_normalized,layout_normalized,local_address,latitude_dd,longitude_dd,country_id,layout_length_m,alt_circuit_full_name_display
220,Calafat,Outer circuit,calafat,outer_circuit,"Circuito de Velocidad Calafat, Carretera Nacional 340, Km 1.118, 43860 L'Ametlla de Mar, Tarragona, Spain",40.89331882,0.784468094,ESP,,
221,Calafat,Inner circuit,calafat,inner_circuit,"Circuito de Velocidad Calafat, Carretera Nacional 340, Km 1.118, 43860 L'Ametlla de Mar, Tarragona, Spain",40.89331882,0.784468094,ESP,,
222,Calder Park,National Circuit,calder_park,national_circuit,"Calder Park Raceway, Calder Park, VIC 3037, Australia",-37.6684912,144.7569162,AUS,2280,
223,Calder Park,'Grand Prix' Combined Circuit,calder_park,grand_prix_combined_circuit,"Calder Park Raceway, Calder Park, VIC 3037, Australia",-37.6684912,144.7569162,AUS,4216,
224,Calder Park,Thunderdome (NASCAR),calder_park,thunderdome_nascar,"Calder Park Raceway, Calder Park, VIC 3037, Australia",-37.6684912,144.7569162,AUS,1801,
225,Calder Park,Thunderdome (AUSCAR),calder_park,thunderdome_auscar,"Calder Park Raceway, Calder Park, VIC 3037, Australia",-37.6684912,144.7569162,AUS,1801,
226,Calder Park,Club Circuit,calder_park,club_circuit,"Calder Park Raceway, Calder Park, VIC 3037, Australia",-37.6684912,144.7569162,AUS,1609,
227,Campo Grande,Stock Car circuit,campo_grande,stock_car_circuit,"Autódromo Internacional Orlando Moura, Route BR-262, Campo Grande - MS, Brazil",-20.4747,-54.465,BRA,,
228,Campo Grande,Alternative full circuit,campo_grande,alternative_full_circuit,"Autódromo Internacional Orlando Moura, Route BR-262, Campo Grande - MS, Brazil",-20.4747,-54.465,BRA,3443,
229,Carolina Motorsports Park,Full circuit,carolina_motorsports_park,full_circuit,"Carolina Motorsports Park, PO Box 366, Kershaw, SC 29067, USA",34.4881,-80.5961,USA,3668,
230,Carolina Motorsports Park,East circuit,carolina_motorsports_park,east_circuit,"Carolina Motorsports Park, PO Box 366, Kershaw, SC 29067, USA",34.4881,-80.5961,USA,2007,
